LEXICO LOG - file: algoritmo2.rs
Generated: 2025-11-11T02:48:12.544105
User: codespace
============================================================

TOKENS
------------------------------------------------------------
LINE    5 | TYPE: FN           | POS:     33 | VALUE: 'fn'
LINE    5 | TYPE: ID           | POS:     36 | VALUE: 'sumar'
LINE    5 | TYPE: LPAREN       | POS:     41 | VALUE: '('
LINE    5 | TYPE: ID           | POS:     42 | VALUE: 'a'
LINE    5 | TYPE: COLON        | POS:     43 | VALUE: ':'
LINE    5 | TYPE: ID           | POS:     45 | VALUE: 'i32'
LINE    5 | TYPE: COMMA        | POS:     48 | VALUE: ','
LINE    5 | TYPE: ID           | POS:     50 | VALUE: 'b'
LINE    5 | TYPE: COLON        | POS:     51 | VALUE: ':'
LINE    5 | TYPE: ID           | POS:     53 | VALUE: 'i32'
LINE    5 | TYPE: RPAREN       | POS:     56 | VALUE: ')'
LINE    5 | TYPE: ARROW        | POS:     58 | VALUE: '->'
LINE    5 | TYPE: ID           | POS:     61 | VALUE: 'i32'
LINE    5 | TYPE: LBRACE       | POS:     65 | VALUE: '{'
LINE    6 | TYPE: RETURN       | POS:     71 | VALUE: 'return'
LINE    6 | TYPE: ID           | POS:     78 | VALUE: 'a'
LINE    6 | TYPE: PLUS         | POS:     80 | VALUE: '+'
LINE    6 | TYPE: ID           | POS:     82 | VALUE: 'b'
LINE    6 | TYPE: SEMICOLON    | POS:     83 | VALUE: ';'
LINE    7 | TYPE: RBRACE       | POS:     85 | VALUE: '}'
LINE    9 | TYPE: FN           | POS:     88 | VALUE: 'fn'
LINE    9 | TYPE: ID           | POS:     91 | VALUE: 'restar'
LINE    9 | TYPE: LPAREN       | POS:     97 | VALUE: '('
LINE    9 | TYPE: ID           | POS:     98 | VALUE: 'a'
LINE    9 | TYPE: COLON        | POS:     99 | VALUE: ':'
LINE    9 | TYPE: ID           | POS:    101 | VALUE: 'i32'
LINE    9 | TYPE: COMMA        | POS:    104 | VALUE: ','
LINE    9 | TYPE: ID           | POS:    106 | VALUE: 'b'
LINE    9 | TYPE: COLON        | POS:    107 | VALUE: ':'
LINE    9 | TYPE: ID           | POS:    109 | VALUE: 'i32'
LINE    9 | TYPE: RPAREN       | POS:    112 | VALUE: ')'
LINE    9 | TYPE: ARROW        | POS:    114 | VALUE: '->'
LINE    9 | TYPE: ID           | POS:    117 | VALUE: 'i32'
LINE    9 | TYPE: LBRACE       | POS:    121 | VALUE: '{'
LINE   10 | TYPE: RETURN       | POS:    127 | VALUE: 'return'
LINE   10 | TYPE: ID           | POS:    134 | VALUE: 'a'
LINE   10 | TYPE: MINUS        | POS:    136 | VALUE: '-'
LINE   10 | TYPE: ID           | POS:    138 | VALUE: 'b'
LINE   10 | TYPE: SEMICOLON    | POS:    139 | VALUE: ';'
LINE   11 | TYPE: RBRACE       | POS:    141 | VALUE: '}'
LINE   13 | TYPE: FN           | POS:    144 | VALUE: 'fn'
LINE   13 | TYPE: ID           | POS:    147 | VALUE: 'multiplicar'
LINE   13 | TYPE: LPAREN       | POS:    158 | VALUE: '('
LINE   13 | TYPE: ID           | POS:    159 | VALUE: 'a'
LINE   13 | TYPE: COLON        | POS:    160 | VALUE: ':'
LINE   13 | TYPE: ID           | POS:    162 | VALUE: 'i32'
LINE   13 | TYPE: COMMA        | POS:    165 | VALUE: ','
LINE   13 | TYPE: ID           | POS:    167 | VALUE: 'b'
LINE   13 | TYPE: COLON        | POS:    168 | VALUE: ':'
LINE   13 | TYPE: ID           | POS:    170 | VALUE: 'i32'
LINE   13 | TYPE: RPAREN       | POS:    173 | VALUE: ')'
LINE   13 | TYPE: ARROW        | POS:    175 | VALUE: '->'
LINE   13 | TYPE: ID           | POS:    178 | VALUE: 'i32'
LINE   13 | TYPE: LBRACE       | POS:    182 | VALUE: '{'
LINE   14 | TYPE: RETURN       | POS:    188 | VALUE: 'return'
LINE   14 | TYPE: ID           | POS:    195 | VALUE: 'a'
LINE   14 | TYPE: MULTIPLY     | POS:    197 | VALUE: '*'
LINE   14 | TYPE: ID           | POS:    199 | VALUE: 'b'
LINE   14 | TYPE: SEMICOLON    | POS:    200 | VALUE: ';'
LINE   15 | TYPE: RBRACE       | POS:    202 | VALUE: '}'
LINE   17 | TYPE: FN           | POS:    205 | VALUE: 'fn'
LINE   17 | TYPE: ID           | POS:    208 | VALUE: 'dividir'
LINE   17 | TYPE: LPAREN       | POS:    215 | VALUE: '('
LINE   17 | TYPE: ID           | POS:    216 | VALUE: 'a'
LINE   17 | TYPE: COLON        | POS:    217 | VALUE: ':'
LINE   17 | TYPE: ID           | POS:    219 | VALUE: 'i32'
LINE   17 | TYPE: COMMA        | POS:    222 | VALUE: ','
LINE   17 | TYPE: ID           | POS:    224 | VALUE: 'b'
LINE   17 | TYPE: COLON        | POS:    225 | VALUE: ':'
LINE   17 | TYPE: ID           | POS:    227 | VALUE: 'i32'
LINE   17 | TYPE: RPAREN       | POS:    230 | VALUE: ')'
LINE   17 | TYPE: ARROW        | POS:    232 | VALUE: '->'
LINE   17 | TYPE: ID           | POS:    235 | VALUE: 'i32'
LINE   17 | TYPE: LBRACE       | POS:    239 | VALUE: '{'
LINE   18 | TYPE: IF           | POS:    245 | VALUE: 'if'
LINE   18 | TYPE: ID           | POS:    248 | VALUE: 'b'
LINE   18 | TYPE: EQUAL        | POS:    250 | VALUE: '=='
LINE   18 | TYPE: INTEGER      | POS:    253 | VALUE: 0
LINE   18 | TYPE: LBRACE       | POS:    255 | VALUE: '{'
LINE   19 | TYPE: PRINTLN      | POS:    265 | VALUE: 'println'
LINE   19 | TYPE: NOT          | POS:    272 | VALUE: '!'
LINE   19 | TYPE: LPAREN       | POS:    273 | VALUE: '('
LINE   19 | TYPE: STRING       | POS:    274 | VALUE: 'Error: División por cero'
LINE   19 | TYPE: RPAREN       | POS:    300 | VALUE: ')'
LINE   19 | TYPE: SEMICOLON    | POS:    301 | VALUE: ';'
LINE   20 | TYPE: RETURN       | POS:    311 | VALUE: 'return'
LINE   20 | TYPE: INTEGER      | POS:    318 | VALUE: 0
LINE   20 | TYPE: SEMICOLON    | POS:    319 | VALUE: ';'
LINE   21 | TYPE: RBRACE       | POS:    325 | VALUE: '}'
LINE   21 | TYPE: ELSE         | POS:    327 | VALUE: 'else'
LINE   21 | TYPE: LBRACE       | POS:    332 | VALUE: '{'
LINE   22 | TYPE: RETURN       | POS:    342 | VALUE: 'return'
LINE   22 | TYPE: ID           | POS:    349 | VALUE: 'a'
LINE   22 | TYPE: DIVIDE       | POS:    351 | VALUE: '/'
LINE   22 | TYPE: ID           | POS:    353 | VALUE: 'b'
LINE   22 | TYPE: SEMICOLON    | POS:    354 | VALUE: ';'
LINE   23 | TYPE: RBRACE       | POS:    360 | VALUE: '}'
LINE   24 | TYPE: RBRACE       | POS:    362 | VALUE: '}'
LINE   26 | TYPE: FN           | POS:    365 | VALUE: 'fn'
LINE   26 | TYPE: ID           | POS:    368 | VALUE: 'main'
LINE   26 | TYPE: LPAREN       | POS:    372 | VALUE: '('
LINE   26 | TYPE: RPAREN       | POS:    373 | VALUE: ')'
LINE   26 | TYPE: LBRACE       | POS:    375 | VALUE: '{'
LINE   27 | TYPE: LET          | POS:    381 | VALUE: 'let'
LINE   27 | TYPE: ID           | POS:    385 | VALUE: 'x'
