LEXICO LOG - file: algoritmo1.rs
Generated: 2025-11-10T18:10:51.324111
User: PaulPer37
============================================================

TOKENS
------------------------------------------------------------
LINE    3 | TYPE: LET          | POS:     16 | VALUE: 'let'
LINE    3 | TYPE: MUT          | POS:     20 | VALUE: 'mut'
LINE    3 | TYPE: ID           | POS:     24 | VALUE: 'contador'
LINE    3 | TYPE: ASSIGN       | POS:     33 | VALUE: '='
LINE    3 | TYPE: INTEGER      | POS:     35 | VALUE: 0
LINE    3 | TYPE: SEMICOLON    | POS:     36 | VALUE: ';'
LINE    4 | TYPE: LET          | POS:     38 | VALUE: 'let'
LINE    4 | TYPE: ID           | POS:     42 | VALUE: 'x'
LINE    4 | TYPE: ASSIGN       | POS:     44 | VALUE: '='
LINE    4 | TYPE: INTEGER      | POS:     46 | VALUE: 42
LINE    4 | TYPE: SEMICOLON    | POS:     48 | VALUE: ';'
LINE    5 | TYPE: LET          | POS:     50 | VALUE: 'let'
LINE    5 | TYPE: ID           | POS:     54 | VALUE: 'y'
LINE    5 | TYPE: ASSIGN       | POS:     56 | VALUE: '='
LINE    5 | TYPE: FLOAT        | POS:     58 | VALUE: 3.1415
LINE    5 | TYPE: SEMICOLON    | POS:     64 | VALUE: ';'
LINE    6 | TYPE: LET          | POS:     66 | VALUE: 'let'
LINE    6 | TYPE: ID           | POS:     70 | VALUE: 'z'
LINE    6 | TYPE: ASSIGN       | POS:     72 | VALUE: '='
LINE    6 | TYPE: FLOAT        | POS:     74 | VALUE: 0.0
LINE    6 | TYPE: SEMICOLON    | POS:     77 | VALUE: ';'
LINE    7 | TYPE: LET          | POS:     79 | VALUE: 'let'
LINE    7 | TYPE: ID           | POS:     83 | VALUE: 'name'
LINE    7 | TYPE: ASSIGN       | POS:     88 | VALUE: '='
LINE    7 | TYPE: STRING       | POS:     90 | VALUE: 'Juan Perez'
LINE    7 | TYPE: SEMICOLON    | POS:    102 | VALUE: ';'
LINE    8 | TYPE: LET          | POS:    111 | VALUE: 'let'
LINE    8 | TYPE: ID           | POS:    115 | VALUE: 'single'
LINE    8 | TYPE: ASSIGN       | POS:    122 | VALUE: '='
LINE    8 | TYPE: CHAR         | POS:    124 | VALUE: 'a'
LINE    8 | TYPE: SEMICOLON    | POS:    127 | VALUE: ';'
LINE    9 | TYPE: LET          | POS:    129 | VALUE: 'let'
LINE    9 | TYPE: ID           | POS:    133 | VALUE: 'esc_char'
LINE    9 | TYPE: ASSIGN       | POS:    142 | VALUE: '='
LINE    9 | TYPE: CHAR         | POS:    144 | VALUE: '\\n'
LINE    9 | TYPE: SEMICOLON    | POS:    148 | VALUE: ';'
LINE   10 | TYPE: LET          | POS:    150 | VALUE: 'let'
