LEXICO LOG - file: algoritmo3.rs
Generated: 2025-11-17T23:38:04.659648
User: RUCO_HOUSE
============================================================

TOKENS
------------------------------------------------------------
LINE    6 | TYPE: FN           | POS:     66 | VALUE: 'fn'
LINE    6 | TYPE: ID           | POS:     69 | VALUE: 'suma'
LINE    6 | TYPE: LPAREN       | POS:     73 | VALUE: '('
LINE    6 | TYPE: ID           | POS:     74 | VALUE: 'a'
LINE    6 | TYPE: COLON        | POS:     75 | VALUE: ':'
LINE    6 | TYPE: ID           | POS:     77 | VALUE: 'i32'
LINE    6 | TYPE: COMMA        | POS:     80 | VALUE: ','
LINE    6 | TYPE: ID           | POS:     82 | VALUE: 'b'
LINE    6 | TYPE: COLON        | POS:     83 | VALUE: ':'
LINE    6 | TYPE: ID           | POS:     85 | VALUE: 'i32'
LINE    6 | TYPE: RPAREN       | POS:     88 | VALUE: ')'
LINE    6 | TYPE: ARROW        | POS:     90 | VALUE: '->'
LINE    6 | TYPE: ID           | POS:     93 | VALUE: 'i32'
LINE    6 | TYPE: LBRACE       | POS:     97 | VALUE: '{'
LINE    7 | TYPE: RETURN       | POS:    103 | VALUE: 'return'
LINE    7 | TYPE: ID           | POS:    110 | VALUE: 'a'
LINE    7 | TYPE: PLUS         | POS:    112 | VALUE: '+'
LINE    7 | TYPE: ID           | POS:    114 | VALUE: 'b'
LINE    7 | TYPE: SEMICOLON    | POS:    115 | VALUE: ';'
LINE    8 | TYPE: RBRACE       | POS:    117 | VALUE: '}'
LINE   10 | TYPE: FN           | POS:    120 | VALUE: 'fn'
LINE   10 | TYPE: ID           | POS:    123 | VALUE: 'main'
LINE   10 | TYPE: LPAREN       | POS:    127 | VALUE: '('
LINE   10 | TYPE: RPAREN       | POS:    128 | VALUE: ')'
LINE   10 | TYPE: LBRACE       | POS:    130 | VALUE: '{'
LINE   15 | TYPE: LET          | POS:    257 | VALUE: 'let'
LINE   15 | TYPE: MUT          | POS:    261 | VALUE: 'mut'
LINE   15 | TYPE: ID           | POS:    265 | VALUE: 'contador'
LINE   15 | TYPE: ASSIGN       | POS:    274 | VALUE: '='
LINE   15 | TYPE: INTEGER      | POS:    276 | VALUE: 0
LINE   15 | TYPE: SEMICOLON    | POS:    277 | VALUE: ';'
LINE   16 | TYPE: LET          | POS:    283 | VALUE: 'let'
LINE   16 | TYPE: MUT          | POS:    287 | VALUE: 'mut'
LINE   16 | TYPE: ID           | POS:    291 | VALUE: 'x'
LINE   16 | TYPE: ASSIGN       | POS:    293 | VALUE: '='
LINE   16 | TYPE: INTEGER      | POS:    295 | VALUE: 42
LINE   16 | TYPE: SEMICOLON    | POS:    297 | VALUE: ';'
LINE   17 | TYPE: LET          | POS:    303 | VALUE: 'let'
LINE   17 | TYPE: MUT          | POS:    307 | VALUE: 'mut'
LINE   17 | TYPE: ID           | POS:    311 | VALUE: 'y'
LINE   17 | TYPE: ASSIGN       | POS:    313 | VALUE: '='
LINE   17 | TYPE: FLOAT        | POS:    315 | VALUE: 3.1415
LINE   17 | TYPE: SEMICOLON    | POS:    321 | VALUE: ';'
LINE   18 | TYPE: LET          | POS:    327 | VALUE: 'let'
LINE   18 | TYPE: MUT          | POS:    331 | VALUE: 'mut'
LINE   18 | TYPE: ID           | POS:    335 | VALUE: 'z'
LINE   18 | TYPE: ASSIGN       | POS:    337 | VALUE: '='
LINE   18 | TYPE: FLOAT        | POS:    339 | VALUE: 10.0
LINE   18 | TYPE: SEMICOLON    | POS:    343 | VALUE: ';'
LINE   22 | TYPE: LET          | POS:    377 | VALUE: 'let'
LINE   22 | TYPE: ID           | POS:    381 | VALUE: 'name'
LINE   22 | TYPE: ASSIGN       | POS:    386 | VALUE: '='
LINE   22 | TYPE: STRING       | POS:    388 | VALUE: 'Juan Perez'
LINE   22 | TYPE: SEMICOLON    | POS:    400 | VALUE: ';'
LINE   23 | TYPE: LET          | POS:    413 | VALUE: 'let'
LINE   23 | TYPE: ID           | POS:    417 | VALUE: 'single'
LINE   23 | TYPE: ASSIGN       | POS:    424 | VALUE: '='
LINE   23 | TYPE: CHAR         | POS:    426 | VALUE: 'a'
LINE   23 | TYPE: SEMICOLON    | POS:    429 | VALUE: ';'
LINE   24 | TYPE: LET          | POS:    435 | VALUE: 'let'
LINE   24 | TYPE: ID           | POS:    439 | VALUE: 'esc_char'
LINE   24 | TYPE: ASSIGN       | POS:    448 | VALUE: '='
LINE   24 | TYPE: CHAR         | POS:    450 | VALUE: '\\n'
LINE   24 | TYPE: SEMICOLON    | POS:    454 | VALUE: ';'
LINE   26 | TYPE: PRINTLN      | POS:    465 | VALUE: 'println'
LINE   26 | TYPE: NOT          | POS:    472 | VALUE: '!'
LINE   26 | TYPE: LPAREN       | POS:    473 | VALUE: '('
LINE   26 | TYPE: STRING       | POS:    474 | VALUE: 'Iniciando programa'
LINE   26 | TYPE: RPAREN       | POS:    494 | VALUE: ')'
LINE   26 | TYPE: SEMICOLON    | POS:    495 | VALUE: ';'
LINE   27 | TYPE: PRINTLN      | POS:    501 | VALUE: 'println'
LINE   27 | TYPE: NOT          | POS:    508 | VALUE: '!'
LINE   27 | TYPE: LPAREN       | POS:    509 | VALUE: '('
LINE   27 | TYPE: ID           | POS:    510 | VALUE: 'contador'
