LEXICO LOG - file: semantic-algorithm-1.rs
Generated: 2025-11-18T00:00:02.375843
User: anthony.hl
============================================================

TOKENS
------------------------------------------------------------
LINE    4 | TYPE: FN           | POS:     25 | VALUE: 'fn'
LINE    4 | TYPE: ID           | POS:     28 | VALUE: 'main'
LINE    4 | TYPE: LPAREN       | POS:     32 | VALUE: '('
LINE    4 | TYPE: RPAREN       | POS:     33 | VALUE: ')'
LINE    4 | TYPE: LBRACE       | POS:     35 | VALUE: '{'
LINE    7 | TYPE: LET          | POS:     84 | VALUE: 'let'
LINE    7 | TYPE: ID           | POS:     88 | VALUE: 'resultado'
LINE    7 | TYPE: ASSIGN       | POS:     98 | VALUE: '='
LINE    7 | TYPE: ID           | POS:    100 | VALUE: 'x'
LINE    7 | TYPE: PLUS         | POS:    102 | VALUE: '+'
LINE    7 | TYPE: INTEGER      | POS:    104 | VALUE: 5
LINE    7 | TYPE: SEMICOLON    | POS:    105 | VALUE: ';'
LINE   11 | TYPE: LET          | POS:    162 | VALUE: 'let'
LINE   11 | TYPE: ID           | POS:    166 | VALUE: 'y'
LINE   11 | TYPE: ASSIGN       | POS:    168 | VALUE: '='
LINE   11 | TYPE: INTEGER      | POS:    170 | VALUE: 10
LINE   11 | TYPE: SEMICOLON    | POS:    172 | VALUE: ';'
LINE   12 | TYPE: ID           | POS:    178 | VALUE: 'y'
LINE   12 | TYPE: ASSIGN       | POS:    180 | VALUE: '='
LINE   12 | TYPE: INTEGER      | POS:    182 | VALUE: 20
LINE   12 | TYPE: SEMICOLON    | POS:    184 | VALUE: ';'
LINE   16 | TYPE: LET          | POS:    231 | VALUE: 'let'
LINE   16 | TYPE: ID           | POS:    235 | VALUE: 'edad'
LINE   16 | TYPE: COLON        | POS:    239 | VALUE: ':'
LINE   16 | TYPE: ID           | POS:    241 | VALUE: 'i32'
LINE   16 | TYPE: ASSIGN       | POS:    245 | VALUE: '='
LINE   16 | TYPE: TRUE         | POS:    247 | VALUE: 'true'
LINE   16 | TYPE: SEMICOLON    | POS:    251 | VALUE: ';'
LINE   20 | TYPE: IF           | POS:    318 | VALUE: 'if'
LINE   20 | TYPE: ID           | POS:    321 | VALUE: 'z'
LINE   20 | TYPE: GREATER_THAN | POS:    323 | VALUE: '>'
LINE   20 | TYPE: INTEGER      | POS:    325 | VALUE: 10
LINE   20 | TYPE: LBRACE       | POS:    328 | VALUE: '{'
LINE   21 | TYPE: PRINTLN      | POS:    338 | VALUE: 'println'
LINE   21 | TYPE: NOT          | POS:    345 | VALUE: '!'
LINE   21 | TYPE: LPAREN       | POS:    346 | VALUE: '('
LINE   21 | TYPE: STRING       | POS:    347 | VALUE: 'Mayor'
LINE   21 | TYPE: RPAREN       | POS:    354 | VALUE: ')'
LINE   21 | TYPE: SEMICOLON    | POS:    355 | VALUE: ';'
LINE   22 | TYPE: RBRACE       | POS:    361 | VALUE: '}'
LINE   26 | TYPE: LET          | POS:    416 | VALUE: 'let'
LINE   26 | TYPE: ID           | POS:    420 | VALUE: 'suma'
LINE   26 | TYPE: ASSIGN       | POS:    425 | VALUE: '='
LINE   26 | TYPE: ID           | POS:    427 | VALUE: 'sumar'
LINE   26 | TYPE: LPAREN       | POS:    432 | VALUE: '('
LINE   26 | TYPE: INTEGER      | POS:    433 | VALUE: 5
LINE   26 | TYPE: COMMA        | POS:    434 | VALUE: ','
LINE   26 | TYPE: INTEGER      | POS:    436 | VALUE: 10
LINE   26 | TYPE: RPAREN       | POS:    438 | VALUE: ')'
LINE   26 | TYPE: SEMICOLON    | POS:    439 | VALUE: ';'
LINE   30 | TYPE: LET          | POS:    497 | VALUE: 'let'
LINE   30 | TYPE: ID           | POS:    501 | VALUE: 'arr'
LINE   30 | TYPE: ASSIGN       | POS:    505 | VALUE: '='
LINE   30 | TYPE: LBRACKET     | POS:    507 | VALUE: '['
LINE   30 | TYPE: INTEGER      | POS:    508 | VALUE: 1
LINE   30 | TYPE: COMMA        | POS:    509 | VALUE: ','
LINE   30 | TYPE: INTEGER      | POS:    511 | VALUE: 2
LINE   30 | TYPE: COMMA        | POS:    512 | VALUE: ','
LINE   30 | TYPE: FLOAT        | POS:    514 | VALUE: 3.5
LINE   30 | TYPE: COMMA        | POS:    517 | VALUE: ','
LINE   30 | TYPE: INTEGER      | POS:    519 | VALUE: 4
LINE   30 | TYPE: RBRACKET     | POS:    520 | VALUE: ']'
LINE   30 | TYPE: SEMICOLON    | POS:    521 | VALUE: ';'
LINE   34 | TYPE: LET          | POS:    570 | VALUE: 'let'
LINE   34 | TYPE: ID           | POS:    574 | VALUE: 'num'
LINE   34 | TYPE: ASSIGN       | POS:    578 | VALUE: '='
LINE   34 | TYPE: INTEGER      | POS:    580 | VALUE: 5
LINE   34 | TYPE: SEMICOLON    | POS:    581 | VALUE: ';'
LINE   35 | TYPE: IF           | POS:    587 | VALUE: 'if'
LINE   35 | TYPE: ID           | POS:    590 | VALUE: 'num'
LINE   35 | TYPE: LBRACE       | POS:    594 | VALUE: '{'
LINE   36 | TYPE: PRINTLN      | POS:    604 | VALUE: 'println'
LINE   36 | TYPE: NOT          | POS:    611 | VALUE: '!'
LINE   36 | TYPE: LPAREN       | POS:    612 | VALUE: '('
LINE   36 | TYPE: STRING       | POS:    613 | VALUE: 'Error'
LINE   36 | TYPE: RPAREN       | POS:    620 | VALUE: ')'
LINE   36 | TYPE: SEMICOLON    | POS:    621 | VALUE: ';'
LINE   37 | TYPE: RBRACE       | POS:    627 | VALUE: '}'
LINE   41 | TYPE: LET          | POS:    671 | VALUE: 'let'
LINE   41 | TYPE: ID           | POS:    675 | VALUE: 'datos'
LINE   41 | TYPE: ASSIGN       | POS:    681 | VALUE: '='
LINE   41 | TYPE: LBRACKET     | POS:    683 | VALUE: '['
LINE   41 | TYPE: INTEGER      | POS:    684 | VALUE: 1
LINE   41 | TYPE: COMMA        | POS:    685 | VALUE: ','
LINE   41 | TYPE: INTEGER      | POS:    687 | VALUE: 2
LINE   41 | TYPE: COMMA        | POS:    688 | VALUE: ','
LINE   41 | TYPE: INTEGER      | POS:    690 | VALUE: 3
LINE   41 | TYPE: RBRACKET     | POS:    691 | VALUE: ']'
LINE   41 | TYPE: SEMICOLON    | POS:    692 | VALUE: ';'
LINE   42 | TYPE: LET          | POS:    698 | VALUE: 'let'
LINE   42 | TYPE: ID           | POS:    702 | VALUE: 'valor'
LINE   42 | TYPE: ASSIGN       | POS:    708 | VALUE: '='
LINE   42 | TYPE: ID           | POS:    710 | VALUE: 'datos'
LINE   42 | TYPE: LBRACKET     | POS:    715 | VALUE: '['
