LEXICO LOG - file: semantic-algorithm-2.rs
Generated: 2025-11-18T04:51:59.069043
User: codespace
============================================================

TOKENS
------------------------------------------------------------
LINE    4 | TYPE: FN           | POS:     18 | VALUE: 'fn'
LINE    4 | TYPE: ID           | POS:     21 | VALUE: 'main'
LINE    4 | TYPE: LPAREN       | POS:     25 | VALUE: '('
LINE    4 | TYPE: RPAREN       | POS:     26 | VALUE: ')'
LINE    4 | TYPE: LBRACE       | POS:     28 | VALUE: '{'
LINE    7 | TYPE: LET          | POS:     77 | VALUE: 'let'
LINE    7 | TYPE: ID           | POS:     81 | VALUE: 'total'
LINE    7 | TYPE: ASSIGN       | POS:     87 | VALUE: '='
LINE    7 | TYPE: ID           | POS:     89 | VALUE: 'precio'
LINE    7 | TYPE: PLUS         | POS:     96 | VALUE: '+'
LINE    7 | TYPE: INTEGER      | POS:     98 | VALUE: 100
LINE    7 | TYPE: SEMICOLON    | POS:    101 | VALUE: ';'
LINE   11 | TYPE: LET          | POS:    157 | VALUE: 'let'
LINE   11 | TYPE: ID           | POS:    161 | VALUE: 'contador'
LINE   11 | TYPE: ASSIGN       | POS:    170 | VALUE: '='
LINE   11 | TYPE: INTEGER      | POS:    172 | VALUE: 0
LINE   11 | TYPE: SEMICOLON    | POS:    173 | VALUE: ';'
LINE   12 | TYPE: ID           | POS:    179 | VALUE: 'contador'
LINE   12 | TYPE: ASSIGN       | POS:    188 | VALUE: '='
LINE   12 | TYPE: INTEGER      | POS:    190 | VALUE: 5
LINE   12 | TYPE: SEMICOLON    | POS:    191 | VALUE: ';'
LINE   16 | TYPE: LET          | POS:    251 | VALUE: 'let'
LINE   16 | TYPE: ID           | POS:    255 | VALUE: 'edad'
LINE   16 | TYPE: COLON        | POS:    259 | VALUE: ':'
LINE   16 | TYPE: ID           | POS:    261 | VALUE: 'i32'
LINE   16 | TYPE: ASSIGN       | POS:    265 | VALUE: '='
LINE   16 | TYPE: FLOAT        | POS:    267 | VALUE: 25.5
LINE   16 | TYPE: SEMICOLON    | POS:    271 | VALUE: ';'
LINE   20 | TYPE: LET          | POS:    326 | VALUE: 'let'
LINE   20 | TYPE: ID           | POS:    330 | VALUE: 'numero'
LINE   20 | TYPE: ASSIGN       | POS:    337 | VALUE: '='
LINE   20 | TYPE: INTEGER      | POS:    339 | VALUE: 10
LINE   20 | TYPE: SEMICOLON    | POS:    341 | VALUE: ';'
LINE   21 | TYPE: IF           | POS:    347 | VALUE: 'if'
LINE   21 | TYPE: ID           | POS:    350 | VALUE: 'numero'
LINE   21 | TYPE: LBRACE       | POS:    357 | VALUE: '{'
LINE   22 | TYPE: PRINTLN      | POS:    367 | VALUE: 'println'
LINE   22 | TYPE: NOT          | POS:    374 | VALUE: '!'
LINE   22 | TYPE: LPAREN       | POS:    375 | VALUE: '('
LINE   22 | TYPE: STRING       | POS:    376 | VALUE: 'Esto está mal'
LINE   22 | TYPE: RPAREN       | POS:    391 | VALUE: ')'
LINE   22 | TYPE: SEMICOLON    | POS:    392 | VALUE: ';'
LINE   23 | TYPE: RBRACE       | POS:    398 | VALUE: '}'
LINE   27 | TYPE: LET          | POS:    453 | VALUE: 'let'
LINE   27 | TYPE: ID           | POS:    457 | VALUE: 'resultado'
LINE   27 | TYPE: ASSIGN       | POS:    467 | VALUE: '='
LINE   27 | TYPE: ID           | POS:    469 | VALUE: 'calcular'
LINE   27 | TYPE: LPAREN       | POS:    477 | VALUE: '('
LINE   27 | TYPE: INTEGER      | POS:    478 | VALUE: 5
LINE   27 | TYPE: COMMA        | POS:    479 | VALUE: ','
LINE   27 | TYPE: INTEGER      | POS:    481 | VALUE: 10
LINE   27 | TYPE: RPAREN       | POS:    483 | VALUE: ')'
LINE   27 | TYPE: SEMICOLON    | POS:    484 | VALUE: ';'
LINE   31 | TYPE: LET          | POS:    542 | VALUE: 'let'
LINE   31 | TYPE: ID           | POS:    546 | VALUE: 'datos'
LINE   31 | TYPE: ASSIGN       | POS:    552 | VALUE: '='
LINE   31 | TYPE: LBRACKET     | POS:    554 | VALUE: '['
LINE   31 | TYPE: INTEGER      | POS:    555 | VALUE: 1
LINE   31 | TYPE: COMMA        | POS:    556 | VALUE: ','
LINE   31 | TYPE: INTEGER      | POS:    558 | VALUE: 2
LINE   31 | TYPE: COMMA        | POS:    559 | VALUE: ','
LINE   31 | TYPE: FLOAT        | POS:    561 | VALUE: 3.14
LINE   31 | TYPE: COMMA        | POS:    565 | VALUE: ','
LINE   31 | TYPE: INTEGER      | POS:    567 | VALUE: 4
LINE   31 | TYPE: COMMA        | POS:    568 | VALUE: ','
LINE   31 | TYPE: INTEGER      | POS:    570 | VALUE: 5
LINE   31 | TYPE: RBRACKET     | POS:    571 | VALUE: ']'
LINE   31 | TYPE: SEMICOLON    | POS:    572 | VALUE: ';'
LINE   35 | TYPE: LET          | POS:    625 | VALUE: 'let'
LINE   35 | TYPE: ID           | POS:    629 | VALUE: 'valores'
LINE   35 | TYPE: ASSIGN       | POS:    637 | VALUE: '='
LINE   35 | TYPE: LBRACKET     | POS:    639 | VALUE: '['
LINE   35 | TYPE: INTEGER      | POS:    640 | VALUE: 10
LINE   35 | TYPE: COMMA        | POS:    642 | VALUE: ','
LINE   35 | TYPE: INTEGER      | POS:    644 | VALUE: 20
LINE   35 | TYPE: COMMA        | POS:    646 | VALUE: ','
LINE   35 | TYPE: INTEGER      | POS:    648 | VALUE: 30
LINE   35 | TYPE: RBRACKET     | POS:    650 | VALUE: ']'
LINE   35 | TYPE: SEMICOLON    | POS:    651 | VALUE: ';'
LINE   36 | TYPE: LET          | POS:    657 | VALUE: 'let'
LINE   36 | TYPE: ID           | POS:    661 | VALUE: 'item'
LINE   36 | TYPE: ASSIGN       | POS:    666 | VALUE: '='
LINE   36 | TYPE: ID           | POS:    668 | VALUE: 'valores'
